p1handX,p1handY,p1handZ,p2handX,p2handY,p2handZ,p1bodyX,p1bodyY,p1bodyZ,p2bodyX,p2bodyY,p2bodyZ
6.3,-22.424,-32.076,7.452,-77.975,-36.329,-7.327,2.683,-36.164,-3.505,-96.68,-34.429
6.327,-22.417,-31.985,7.459,-77.979,-36.329,-7.31,2.688,-36.171,-3.501,-96.69,-34.436
6.344,-22.436,-31.918,7.47,-77.978,-36.33,-7.294,2.699,-36.18,-3.5,-96.682,-34.456
6.305,-22.418,-31.818,7.478,-77.975,-36.319,-7.282,2.7,-36.184,-3.483,-96.686,-34.468
6.246,-22.432,-31.767,7.481,-77.977,-36.32,-7.28,2.689,-36.181,-3.472,-96.692,-34.475
6.321,-22.437,-31.669,7.474,-77.983,-36.319,-7.27,2.687,-36.182,-3.514,-96.685,-34.483
6.332,-22.472,-31.585,7.472,-77.986,-36.327,-7.274,2.682,-36.186,-3.524,-96.687,-34.482
6.297,-22.499,-31.501,7.492,-77.976,-36.323,-7.281,2.681,-36.187,-3.493,-96.682,-34.485
6.304,-22.494,-31.397,7.5,-77.985,-36.329,-7.276,2.678,-36.184,-3.495,-96.668,-34.502
6.314,-22.521,-31.295,7.504,-77.984,-36.332,-7.27,2.679,-36.181,-3.464,-96.682,-34.495
6.406,-22.545,-31.167,7.474,-77.991,-36.332,-7.276,2.676,-36.182,-3.455,-96.687,-34.506
6.388,-22.526,-31.096,7.478,-77.997,-36.321,-7.296,2.678,-36.185,-3.428,-96.714,-34.485
6.344,-22.533,-30.998,7.476,-78,-36.328,-7.297,2.673,-36.182,-3.415,-96.712,-34.498
6.386,-22.542,-30.899,7.469,-77.991,-36.335,-7.308,2.662,-36.177,-3.382,-96.712,-34.507
6.383,-22.527,-30.787,7.477,-77.986,-36.335,-7.339,2.659,-36.168,-3.361,-96.713,-34.499
6.412,-22.537,-30.646,7.478,-77.982,-36.335,-7.343,2.645,-36.157,-3.36,-96.712,-34.512
6.348,-22.546,-30.505,7.461,-77.978,-36.338,-7.338,2.633,-36.162,-3.311,-96.716,-34.518
6.368,-22.613,-30.361,7.452,-77.97,-36.362,-7.349,2.632,-36.172,-3.311,-96.704,-34.522
6.377,-22.617,-30.288,7.46,-77.971,-36.358,-7.342,2.631,-36.169,-3.349,-96.705,-34.528
6.415,-22.614,-30.171,7.434,-77.975,-36.354,-7.332,2.633,-36.173,-3.38,-96.7,-34.523
6.417,-22.599,-30.054,7.439,-77.971,-36.348,-7.329,2.625,-36.175,-3.429,-96.694,-34.523
6.493,-22.555,-29.919,7.43,-77.954,-36.357,-7.325,2.625,-36.179,-3.439,-96.694,-34.53
6.471,-22.591,-29.8,7.416,-77.926,-36.375,-7.304,2.631,-36.184,-3.418,-96.704,-34.519
6.478,-22.605,-29.661,7.407,-77.925,-36.377,-7.296,2.632,-36.192,-3.43,-96.717,-34.511
6.449,-22.642,-29.511,7.417,-77.927,-36.379,-7.29,2.625,-36.2,-3.416,-96.722,-34.527
6.467,-22.611,-29.391,7.418,-77.924,-36.389,-7.27,2.623,-36.199,-3.427,-96.726,-34.537
6.488,-22.666,-29.302,7.383,-77.929,-36.415,-7.276,2.624,-36.206,-3.417,-96.72,-34.54
6.458,-22.668,-29.175,7.39,-77.93,-36.433,-7.281,2.628,-36.212,-3.395,-96.716,-34.546
6.485,-22.653,-29.039,7.409,-77.914,-36.44,-7.289,2.621,-36.22,-3.395,-96.703,-34.57
6.512,-22.703,-28.859,7.403,-77.878,-36.459,-7.287,2.617,-36.217,-3.397,-96.701,-34.57
6.59,-22.732,-28.715,7.381,-77.874,-36.474,-7.284,2.593,-36.206,-3.391,-96.702,-34.569
6.562,-22.71,-28.587,7.35,-77.849,-36.499,-7.287,2.595,-36.203,-3.426,-96.689,-34.571
6.57,-22.702,-28.464,7.293,-77.816,-36.539,-7.305,2.593,-36.199,-3.482,-96.688,-34.56
